Preparing worktree (detached HEAD 25aea76)
negative controls: 147 of 147
worktree: /var/folders/gy/fgcsxyg95yxdym1qs1tvkzj80000gp/T/erl2-negative-control-kjbPvx/tree
installing dependencies in the worktree (once)…
  ✔ v2-cleanup-requires-evidence: 9 pass / 4 fail (expected fail, named_tests_failed)
  ✔ v2-coordinator-delegates: 3 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-residue-requires-report: 4 pass / 3 fail (expected fail, named_tests_failed)
  ✔ v2-residue-report-validated: 5 pass / 2 fail (expected fail, named_tests_failed)
  ✔ v2-governed-port-refusal: 3 pass / 2 fail (expected fail, named_tests_failed)
  ✔ v2-telemetry-follower-readiness: 28 pass / 3 fail (expected fail, named_tests_failed)
  ✔ v2-telemetry-block-boundary: 30 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-operation-success-requires-adapter-success: 3 pass / 1 fail (expected fail, named_tests_failed)

the working tree is byte-identical to how the campaign started

durable campaign record: /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/4e259bcf-27b1-4c16-856b-04b74e374643/scratchpad/campaign-task/campaign-evidence/campaign.json

accounting: 147 discovered = 147 agreed + 0 disagreed + 0 unmeasured + 0 harness error(s)
all 147 measured control(s) matched their recorded expectation
